candidate_id,rank,score,reasoning
CAND_0091534,41,0.793489,"AI Engineer with 16.6y experience; 14 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, bge). strong role alignment; career shows production recommendation system/semantic search"
CAND_0068811,42,0.793379,"Applied ML Engineer with 8.0y experience; 10 core AI/IR skills (embeddings, retrieval, rag, pinecone). strong role alignment; career shows production recommendation system"
CAND_0011327,43,0.791719,"AI Research Engineer with 6.3y experience; 7 core AI/IR skills (sentence transformers, retrieval, semantic search, opensearch). strong role alignment; career shows production re-rank/recommendation"
CAND_0039383,44,0.791538,"Applied ML Engineer with 7.1y experience; 10 core AI/IR skills (sentence-transformers, bge, retrieval, semantic search). strong role alignment; career shows production recommendation system/semantic search"
CAND_0008295,45,0.791312,"AI Research Engineer with 6.5y experience; 5 core AI/IR skills (retrieval, weaviate, bm25, ranking). strong role alignment; profile semantically matches the JD"
CAND_0066376,46,0.789026,"Applied ML Engineer with 5.7y experience; 11 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0043228,47,0.787740,"Applied ML Engineer with 6.8y experience; 14 core AI/IR skills (sentence-transformers, sentence transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0053591,48,0.786144,"AI Engineer with 5.3y experience; 13 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, semantic search). strong role alignment; career shows production recommendation system/semantic search. but note: Toronto, Canada (outside India)"
CAND_0016163,49,0.785139,"Applied ML Engineer with 6.7y experience; 12 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0086893,50,0.783273,"ML Engineer with 3.9y experience; 6 core AI/IR skills (retrieval, opensearch, elasticsearch, ranking). strong role alignment; career shows production re-rank/recommendation"
CAND_0098846,51,0.782115,"AI Engineer with 7.6y experience; 7 core AI/IR skills (embeddings, retrieval, rag, pinecone). strong role alignment; career shows production recommendation system"
CAND_0070398,52,0.781984,"Machine Learning Engineer with 7.2y experience; 12 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0009691,53,0.781866,"Applied ML Engineer with 6.2y experience; 9 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, semantic search). strong role alignment; career shows production recommendation system/semantic search"
CAND_0080472,54,0.777210,"Junior ML Engineer with 4.4y experience; 5 core AI/IR skills (sentence transformers, retrieval, ranking, recommendation). strong role alignment; career shows production re-rank/recommendation"
CAND_0083879,55,0.776904,"Machine Learning Engineer with 7.1y experience; 8 core AI/IR skills (sentence-transformers, sentence transformers, retrieval, semantic search). strong role alignment; career shows production recommendation system/semantic search"
CAND_0096172,56,0.773597,"NLP Engineer with 5.2y experience; 14 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, bge). strong role alignment; career shows production recommendation system/semantic search"
CAND_0075249,57,0.772433,"Applied ML Engineer with 6.2y experience; 14 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, bge). strong role alignment; career shows production recommendation system/semantic search"
CAND_0033179,58,0.772307,"AI Research Engineer with 6.9y experience; 5 core AI/IR skills (retrieval, opensearch, ranking, recommendation). strong role alignment; career shows production re-rank/recommendation"
CAND_0010603,59,0.772023,"ML Engineer with 5.3y experience; 5 core AI/IR skills (retrieval, opensearch, ranking, recommendation). strong role alignment; career shows production re-rank/recommendation"
CAND_0072660,60,0.771770,"Machine Learning Engineer with 7.1y experience; 7 core AI/IR skills (sentence-transformers, semantic search, faiss, opensearch). strong role alignment; career shows production recommendation system/semantic search. included despite Berlin, Germany (outside India)"
CAND_0010685,61,0.771585,"NLP Engineer with 6.7y experience; 10 core AI/IR skills (sentence-transformers, bge, retrieval, semantic search). strong role alignment; career shows production recommendation system/semantic search"
CAND_0013536,62,0.770418,"Applied ML Engineer with 14.1y experience; 9 core AI/IR skills (embeddings, retrieval, pinecone, milvus). career shows production recommendation system; profile semantically matches the JD"
CAND_0042506,63,0.769349,"Search Engineer with 4.2y experience; 11 core AI/IR skills (embeddings, sentence-transformers, retrieval, semantic search). career shows production recommendation system/semantic search; profile semantically matches the JD"
CAND_0021410,64,0.769014,"Junior ML Engineer with 4.0y experience; 5 core AI/IR skills (retrieval, milvus, ranking, recommendation). strong role alignment; career shows production re-rank/recommendation"
CAND_0027801,65,0.768928,"NLP Engineer with 7.4y experience; 13 core AI/IR skills (sentence-transformers, bge, retrieval, semantic search). strong role alignment; career shows production recommendation system/semantic search"
CAND_0010257,66,0.768782,"Senior Data Scientist with 6.5y experience; 7 core AI/IR skills (embeddings, retrieval, qdrant, milvus). career shows production recommendation system; profile semantically matches the JD"
CAND_0067866,67,0.767544,"Senior Software Engineer (ML) with 6.4y experience; 7 core AI/IR skills (embeddings, retrieval, qdrant, elasticsearch). career shows production re-rank/recommendation; profile semantically matches the JD"
CAND_0015057,68,0.767402,"ML Engineer with 4.6y experience; 7 core AI/IR skills (embeddings, sentence transformers, retrieval, semantic search). strong role alignment; profile semantically matches the JD"
CAND_0070202,69,0.766960,"Machine Learning Engineer with 5.1y experience; 9 core AI/IR skills (embeddings, retrieval, semantic search, rag). strong role alignment; career shows production recommendation system"
CAND_0055992,70,0.766767,"AI Engineer with 16.9y experience; 14 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search. included despite Sydney, Australia (outside India)"
CAND_0081053,71,0.766336,"NLP Engineer with 5.4y experience; 10 core AI/IR skills (embeddings, sentence-transformers, semantic search, weaviate). strong role alignment; career shows production recommendation system/semantic search"
CAND_0068932,72,0.765623,"ML Engineer with 5.2y experience; 7 core AI/IR skills (retrieval, rag, milvus, opensearch). career shows production re-rank/recommendation; profile semantically matches the JD"
CAND_0049538,73,0.765098,"Applied ML Engineer with 5.8y experience; 9 core AI/IR skills (embeddings, retrieval, milvus, opensearch). strong role alignment; career shows production recommendation system"
CAND_0080766,74,0.764848,"Staff Machine Learning Engineer with 8.8y experience; 10 core AI/IR skills (sentence-transformers, bge, retrieval, semantic search). strong role alignment; career shows production ndcg/semantic search"
CAND_0047521,75,0.763973,"Junior ML Engineer with 4.4y experience; 8 core AI/IR skills (embeddings, retrieval, rag, pinecone). strong role alignment; career shows production re-rank/recommendation"
CAND_0010149,76,0.762086,"ML Engineer with 6.9y experience; 7 core AI/IR skills (milvus, elasticsearch, vector search, learning to rank). strong role alignment; career shows production re-rank/recommendation"
CAND_0083307,77,0.761650,"Search Engineer with 7.8y experience; 15 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). career shows production recommendation system/semantic search; verified retrieval/ranking skills"
CAND_0046132,78,0.758991,"AI Research Engineer with 4.3y experience; 3 core AI/IR skills (ranking, recommendation, re-ranking). strong role alignment; career shows production re-rank/recommendation"
CAND_0065195,79,0.758441,"Search Engineer with 5.1y experience; 9 core AI/IR skills (embeddings, retrieval, rag, pinecone). career shows production recommendation system; profile semantically matches the JD"
CAND_0044883,80,0.756407,"AI Engineer with 6.3y experience; 12 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). career shows production recommendation system/semantic search; profile semantically matches the JD. included despite Berlin, Germany (outside India)"
CAND_0050876,81,0.754646,"Applied ML Engineer with 6.0y experience; 7 core AI/IR skills (embeddings, sentence transformers, qdrant, faiss). strong role alignment; career shows production recommendation system"
CAND_0007460,82,0.754203,"AI Engineer with 4.7y experience; 6 core AI/IR skills (embeddings, semantic search, rag, weaviate). strong role alignment; career shows production recommendation system"
CAND_0011162,83,0.753634,"Recommendation Systems Engineer with 5.8y experience; 11 core AI/IR skills (embeddings, sentence transformers, retrieval, pinecone). career shows production recommendation system; verified retrieval/ranking skills"
CAND_0076163,84,0.753432,"NLP Engineer with 6.9y experience; 9 core AI/IR skills (sentence transformers, semantic search, rag, weaviate). strong role alignment; profile semantically matches the JD"
CAND_0007412,85,0.753418,"Applied ML Engineer with 7.4y experience; 7 core AI/IR skills (embeddings, rag, pinecone, milvus). strong role alignment; career shows production recommendation system"
CAND_0078002,86,0.752936,"Machine Learning Engineer with 6.3y experience; 6 core AI/IR skills (embeddings, retrieval, rag, weaviate). strong role alignment; career shows production recommendation system"
CAND_0081852,87,0.752581,"Senior Data Scientist with 5.9y experience; 9 core AI/IR skills (embeddings, retrieval, semantic search, rag). career shows production recommendation system; profile semantically matches the JD"
CAND_0064270,88,0.751748,"Applied ML Engineer with 4.2y experience; 12 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0079284,89,0.751426,"Machine Learning Engineer with 4.9y experience; 6 core AI/IR skills (embeddings, retrieval, qdrant, elasticsearch). strong role alignment; career shows production recommendation system"
CAND_0052682,90,0.750619,"NLP Engineer with 6.6y experience; 7 core AI/IR skills (embeddings, semantic search, rag, pinecone). strong role alignment; career shows production recommendation system"
CAND_0054546,91,0.750427,"AI Research Engineer with 4.9y experience; 4 core AI/IR skills (retrieval, qdrant, bm25, learning to rank). strong role alignment; profile semantically matches the JD"
CAND_0070525,92,0.747534,"Senior Software Engineer (ML) with 5.4y experience; 5 core AI/IR skills (embeddings, retrieval, ranking, recommendation). career shows production re-rank/recommendation; profile semantically matches the JD"
CAND_0043637,93,0.746076,"Junior ML Engineer with 5.5y experience; 3 core AI/IR skills (retrieval, milvus, learning to rank). strong role alignment; profile semantically matches the JD"
CAND_0006567,94,0.745016,"Senior AI Engineer with 7.9y experience; 3 core AI/IR skills (retrieval, bm25, ranking). strong role alignment; profile semantically matches the JD"
CAND_0079064,95,0.743575,"Senior Data Scientist with 5.2y experience; 13 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). career shows production recommendation system/semantic search; profile semantically matches the JD"
CAND_0063585,96,0.742443,"AI Research Engineer with 3.1y experience; 8 core AI/IR skills (embeddings, retrieval, qdrant, vector search). strong role alignment; career shows production re-rank/recommendation. included despite experience outside the ideal band"
CAND_0000031,97,0.742184,"Recommendation Systems Engineer with 6.0y experience; 7 core AI/IR skills (embeddings, sentence transformers, retrieval, pinecone). career shows production recommendation system; profile semantically matches the JD"
CAND_0029367,98,0.742129,"Senior Data Scientist with 5.7y experience; 14 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, bge). career shows production recommendation system/semantic search; profile semantically matches the JD"
CAND_0099401,99,0.740958,"NLP Engineer with 7.7y experience; 7 core AI/IR skills (embeddings, retrieval, semantic search, qdrant). strong role alignment; career shows production recommendation system"
CAND_0058575,100,0.740412,"AI Engineer with 5.8y experience; 12 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, bge). strong role alignment; career shows production recommendation system/semantic search"
